Subject	Evaluator	SubjectID	CA1	CA2	CA3	CA4	CU1	CU2	CB	CN	CC	CE
7	E1	55349	0.564646464646465	0.682828282828283	0.892929292929292	0.91010101010101	0.674410774410774	0.758585858585859	0.0851851851851852	0.0936026936026937	0.152525252525253	0.556565656565657
7	E2	55349	0.850841750841751	0.85959595959596	0.9013468013468	0.969023569023569	0.775420875420876	0.775420875420875	0.649158249158249	0.8006734006734	0.337710437710438	0.388215488215489
7	M	55349	0.526099235132284	0.68603376	0.811510696429914	0.894489739482416	0.589669014476964	0.5712748875	0.587812658125169	0.441845675013935	0.301255555256973	0.401251000117511
8	E1	50039	0.404713804713805	0.396632996632997	0.429966329966329	0.556565656565657	NA	NA	NA	0.405050505050505	0.0515151515151515	0.514478114478114
8	E2	50039	0.682491582491582	0.522895622895623	0.362626262626262	0.371380471380471	0.421885521885522	0.472390572390572	0.346127946127946	0.270370370370371	0.127272727272727	0.463973063973064
8	M	50039	0.426238668391199	0.418723293333333	0.471042851222865	0.661431058274483	0.431658325012085	0.488030443333333	0.368356883154935	0.306800706169081	0.156337822931719	0.380440194951762
9	E1	53245	0.160606060606061	0.506060606060606	0.648821548821549	0.741750841750842	0.480808080808081	0.649158249158249	0.0262626262626263	0.43030303030303	0.203030303030303	0.522895622895623
9	E2	53245	0.253198653198653	0.556565656565657	0.623569023569023	0.724915824915825	0.43030303030303	0.581818181818182	0.564983164983165	0.135690235690236	0.211447811447811	0.261952861952862
9	M	53245	0.283064437020103	0.50732811	0.633082786549625	0.710477674004479	0.447571083978975	0.65426992	0.352618170062845	0.309022416319367	0.267797957460602	0.379354418464126
10	E1	51271	0.295286195286195	0.37979797979798	0.472053872053872	0.649158249158249	NA	NA	0.0683501683501685	0.135690235690236	0.0346801346801349	0.0515151515151515
10	E2	51271	0.194276094276094	0.447138047138047	0.606734006734007	0.615488215488215	0.354545454545454	0.463973063973064	0.27037037037037	0.169360269360269	0.127272727272727	0.152525252525252
10	M	51271	0.319810719297018	0.462008161666667	0.487889052143616	0.692938952481849	0.27426762553554	0.426928756666667	0.293288508228185	0.188647101636412	0.118235548310682	0.167306973910551
11	E1	55370	0.025925925925926	0.144107744107744	0.404713804713804	0.53973063973064	0.118855218855219	0.413468013468014	0.0936026936026937	0.0683501683501685	0.0262626262626263	0.0767676767676766
11	E2	55370	0.11010101010101	0.127272727272727	0.312121212121212	0.388215488215489	0.118855218855219	0.261952861952862	0.177777777777778	0.152525252525252	0.0515151515151515	0.110437710437711
11	M	55370	0.116827343596572	0.162651998333333	0.420758031290269	0.55399127825058	0.204804391706645	0.429250108333333	0.222267441687997	0.240407492666068	0.0609824193461019	0.170621284248225
12	E1	50667	0.11010101010101	0.118855218855219	0.303703703703704	0.632323232323232	0.0851851851851852	0.320875420875421	0.118855218855219	0.0936026936026937	0.261952861952862	0.455555555555556
12	E2	50667	0.143771043771044	0.160942760942761	0.32053872053872	0.724915824915825	0.278787878787879	0.295622895622896	0.135690235690236	0.160942760942761	0.261952861952862	0.261952861952862
12	M	50667	0.150012795058752	0.175468236666667	0.379479152553108	0.699796836110181	0.269986570137334	0.39870521	0.243674468423283	0.273608050804515	0.226389132137169	0.364186130048519
13	E1	54867	0.0343434343434343	0.0515151515151515	0.101683501683501	0.135690235690236	1	0.0767676767676766	NA	NA	0.438720538720539	0.405050505050505
13	E2	54867	0.135353535353536	0.11043771043771	0.0427609427609419	0.0936026936026938	0.186195286195286	0.144107744107744	0.152525252525253	0.102020202020202	0.236700336700337	0.228282828282829
13	M	54867	0.0679843592935596	0.0811296391666667	0.152547194754637	0.215002850749725	0.213728894950531	0.133315408333333	0.139123065811546	0.142982067540153	0.284167997565725	0.340866444337277
14	E1	50541	0.623569023569024	0.615488215488216	0.564646464646464	0.6996632996633	0.615488215488216	0.649158249158249	0.0178451178451177	0.0599326599326595	0.472390572390573	0.447138047138047
14	E2	50541	0.758249158249159	0.842760942760943	0.631986531986532	0.598653198653199	0.53973063973064	0.506060606060606	0.413468013468013	0.514478114478114	0.320875420875421	0.253535353535354
14	M	50541	0.53765531485105	0.663661979166667	0.601389011895276	0.746519642895248	0.542062116918233	0.657621616666667	0.434447613678074	0.301508368634842	0.384159921848064	0.317678306135291
15	E1	53018	0.337373737373737	0.506060606060606	0.522558922558922	0.598653198653199	0.421885521885522	0.463973063973064	0.0430976430976434	0.0767676767676766	0.0683501683501685	0.362962962962963
15	E2	53018	0.665656565656566	0.53973063973064	0.657239057239057	0.421885521885522	0.253535353535354	0.480808080808081	0.531313131313132	0.43030303030303	0.0515151515151515	0.203030303030303
15	M	53018	0.369840433106895	0.559593855833333	0.563220329850453	0.574001466425184	0.400701446508286	0.543406303333333	0.368201214950453	0.32189825820806	0.106415335727995	0.362021975480202
